0,435,17,39
1,3879,0,1
2,3943,14,6
3,4662,2,19
4,3871,14,11
5,2622,37,11
6,2719,40,48
7,3052,12,45
8,2834,9,39
9,1517,6,9
10,3905,0,12
11,4809,5,49
12,2744,13,4
13,4673,47,33
14,669,8,28
15,2872,16,27
16,3729,20,26
17,5778,34,45
18,864,45,35
19,3703,20,39
20,5172,4,17
21,887,15,12
22,857,45,42
23,2610,13,41
24,4670,2,27
25,4725,2,29
26,2939,16,50
27,3279,49,20
28,925,43,20
29,4715,2,22
30,4986,44,31
31,2800,40,24
32,5833,34,6
33,3057,12,33
34,5477,21,6
35,2685,9,28
36,1007,35,48
37,980,45,30
38,3289,33,10
39,1009,43,35
40,1721,7,31
41,5931,42,27
42,3923,14,35
43,923,15,27
44,5645,31,5
45,5859,42,31
46,1729,7,41
47,2976,12,12
48,1940,26,45
49,5780,34,34
50,581,8,7
51,3167,11,17
52,449,41,19
53,900,32,1
54,949,15,22
55,976,35,44
56,4017,14,28
57,3272,49,17
58,5215,4,5
59,2812,16,43
60,2271,30,50
61,1013,45,37
62,4722,47,23
63,871,48,13
64,5744,34,34
65,5149,4,41
66,2200,30,28
67,2506,36,7
68,2790,38,33
69,3525,3,30
70,5780,34,27
71,931,45,23
72,993,43,38
73,3105,12,39
74,2739,24,20
75,4704,2,11
76,4920,23,21
77,5737,31,20
78,3394,10,16
79,4778,5,3
80,2806,16,13
81,5938,42,36
82,5088,4,9
83,3557,3,0
84,4819,5,8
85,2820,9,35
86,3786,25,30
87,3175,11,9
88,2796,24,38
89,3211,49,7
90,3280,11,17
91,3297,33,40
92,5173,4,32
93,1632,7,18
94,4866,23,44
95,3904,14,7
96,1110,43,46
97,3625,25,27
98,631,8,31
99,3784,25,4
100,5869,42,30
101,3128,12,25
102,4723,5,48
103,5949,42,38
104,2060,26,44
105,3075,12,50
106,2664,9,30
107,2513,39,32
108,3993,0,43
109,2051,26,0
110,2592,37,33
111,5815,42,42
112,2690,38,12
113,981,35,1
114,1006,32,48
115,3675,3,3
116,1549,7,30
117,1267,46,0
118,819,48,1
119,3933,14,7
120,4756,2,41
121,3208,33,35
122,1197,27,47
123,422,41,41
124,3266,49,34
125,2656,37,8
126,1361,27,41
127,3298,33,34
128,922,48,48
129,2816,16,47
130,2857,28,2
131,2088,26,21
132,2206,30,35
133,4838,47,31
134,4146,18,32
135,2648,13,1
136,5058,50,27
137,4078,22,18
138,2824,24,21
139,3173,33,45
140,3808,25,5
141,418,17,37
142,3022,12,14
143,3288,49,2
144,4552,19,18
145,4725,1,36
146,5755,31,25
147,3615,20,37
148,4082,18,40
149,3468,10,39
150,4652,5,2
151,3659,3,48
152,858,45,31
153,4857,23,19
154,4773,47,48
155,2137,30,18
156,2489,39,43
157,481,17,38
158,5031,44,49
159,856,48,8
160,1647,7,33
161,2804,38,13
162,2747,24,3
163,1096,46,11
164,860,35,6
165,1114,43,46
166,4201,22,7
167,1566,6,16
168,5140,50,1
169,4861,2,26
170,2781,28,27
171,499,17,47
172,5778,34,27
173,1282,27,31
174,5149,50,50
175,750,48,18
176,2842,9,34
177,2525,39,32
178,3343,49,17
179,4107,22,47
180,325,41,38
181,2395,36,30
182,5824,34,37
183,2701,40,44
184,2414,36,13
185,2170,30,31
186,757,8,30
187,5750,34,7
188,2689,13,19
189,4135,22,5
190,2110,26,32
191,3383,10,12
192,2433,39,1
193,3546,10,5
194,5869,42,47
195,1640,7,11
196,3971,14,6
197,3881,0,14
198,811,15,19
199,4847,47,3
